主題,製作人員,,,Null
製作團隊,蕭裕璋,陳可邦,黃恩邦,Null
遊戲介面,Null,Null,Null,Null
主頁面,陳可邦,Null,Null,Null
整備介面,陳可邦,Null,Null,Null
任務解說介面,黃恩邦,Null,Null,Null
遊戲中介面,蕭裕璋,Null,Null,Null
遊戲結算介面,蕭裕璋,Null,Null,Null
遊戲地圖繪製,蕭裕璋,黃恩邦,Null,Null
遊戲雷達製作,黃恩邦,Null,Null,Null
遊戲攝影機計算,陳可邦,蕭裕璋,Null,Null
場地特效,蕭裕璋,Null,Null,Null
角色控制,Null,Null,Null,Null
角色動畫混接,黃恩邦,Null,Null,Null
角色狀態機,黃恩邦,Null,Null,Null
角色管理系統,蕭裕璋,黃恩邦,Null,Null
角色傷害判定,蕭裕璋,陳可邦,黃恩邦,Null
怪物,Null,Null,Null,Null
怪物動畫銜接,黃恩邦,Null,Null,Null
怪物狀態機,黃恩邦,Null,Null,Null
怪物管理系統,黃恩邦,Null,Null,Null
怪物群體運動,陳可邦,Null,Null,Null
遊戲把手管理系統,蕭裕璋,Null,Null,Null
遊戲把手設定,陳可邦,黃恩邦,Null,Null
遊戲讀存檔系統,陳可邦,Null,Null,Null
任務系統 ,蕭裕璋,Null,Null,Null
任務塔操作,蕭裕璋,Null,Null,Null
武器系統,陳可邦,Null,Null,Null
手榴彈系統,陳可邦,Null,Null,Null
武器傷害判定,陳可邦,Null,Null,Null
戰略配備系統,蕭裕璋,Null,Null,Null
戰略配備,蕭裕璋,陳可邦,Null,Null
遊戲物件池管理,陳可邦,蕭裕璋,Null,Null
遊戲音效管理,蕭裕璋,陳可邦,Null,Null
遊戲特效管理,陳可邦,蕭裕璋,Null,Null
